repeat,step,material_system,composition,anneal_T_C,predicted_overpotential_V,actual_overpotential_V,predicted_material_loss_umol,actual_material_loss_umol,hypervolume,best_objective
1,11,Co-Ni-Pd-O,"{""Co"": 0.20025070770540537, ""Ni"": 0.06361183661091674, ""Pd"": 0.7361374556836779}",550,0.585494,1.0,0.162934,0.002874,2.922068,
1,12,Mn-Ni-Pd-O,"{""Mn"": 0.464191210628284, ""Ni"": 0.1392677471267151, ""Pd"": 0.39654104224500086}",550,0.571371,0.602754,0.196645,0.112279,2.922068,
1,13,In-Mn-Pd-O,"{""In"": 0.08561389016399013, ""Mn"": 0.1313398420440644, ""Pd"": 0.7830462677919455}",550,0.607147,0.557793,0.167978,0.069428,2.92469,
1,14,Co-Ni-Pd-O,"{""Co"": 0.25596020863164903, ""Ni"": 0.12306368372571383, ""Pd"": 0.6209761076426372}",550,0.702665,1.0,0.109845,0.011207,2.92469,
1,15,In-Mn-Pd-O,"{""In"": 0.07801338718013939, ""Mn"": 0.39997167883629875, ""Pd"": 0.5220149339835619}",550,0.596303,0.543262,0.114555,0.139143,2.925462,
1,16,In-Mn-Pd-O,"{""In"": 0.03829737847977238, ""Mn"": 0.021671502319797566, ""Pd"": 0.94003111920043}",0,0.579371,0.450141,0.129536,0.73971,3.365756,
1,17,Ag-Pb-W-O,"{'Pb': 0.6253, 'W': 0.02941, 'Ag': 0.34529}",0,0.577725,0.767558,0.268728,0.593955,3.365756,
1,18,Ni-Pd-Ta-O,"{""Ni"": 0.12224298683288626, ""Pd"": 0.710357576894481, ""Ta"": 0.1673994362726327}",550,0.615832,0.65814,0.145882,7.1e-05,3.369445,
1,19,Ni-Pd-Ta-O,"{""Ni"": 0.04413737062120079, ""Pd"": 0.6869342835874181, ""Ta"": 0.2689283457913811}",550,0.637617,0.564769,0.091047,-0.000331,3.37575,
1,20,Ag-Ge-Hf-O,"{""Ag"": 0.6899281013929319, ""Ge"": 0.058095779267176566, ""Hf"": 0.25197611933989145}",550,0.696319,0.832123,0.057588,0.251175,3.37575,
1,21,Co-Mn-W-O,"{'Co': 0.1479170342695864, 'W': 0.36517532041913203, 'Mn': 0.48690764531128156}",550,0.741118,0.813155,0.06268,0.417796,3.37575,
1,22,Co-Ni-Pd-O,"{""Co"": 0.034186777338562194, ""Ni"": 0.003876776377088735, ""Pd"": 0.9619364462843492}",550,0.738967,0.928593,0.09971,-0.069154,3.376957,
1,23,Co-Mn-Sn-O,"{""Co"": 0.42648253452239276, ""Mn"": 0.5735174654776072, ""Sn"": 0.0}",0,0.794929,0.888262,0.061777,0.126736,3.376957,
1,24,Co-Mo-Pd-O,"{""Co"": 0.3694811802269531, ""Mo"": 0.230105200578521, ""Pd"": 0.4004136191945259}",0,0.686969,0.659337,0.092846,0.399562,3.376957,
1,25,Mn-Ni-Pd-O,"{""Mn"": 0.07801732924430468, ""Ni"": 0.038031991808914124, ""Pd"": 0.8839506789467813}",550,0.636425,0.558386,0.156028,0.015045,3.377304,
1,26,Ni-Pd-Ta-O,"{""Ni"": 0.35462782844477203, ""Pd"": 0.30538205132237606, ""Ta"": 0.33999012023285197}",550,0.683401,0.887275,0.081012,0.016514,3.377304,
1,27,Ni-Sb-W-O,"{""Ni"": 0.026883735482613292, ""Sb"": 0.0766314316671544, ""W"": 0.8964848328502323}",0,0.706788,1.0,0.038729,1.067708,3.377304,
1,28,Mn-Ni-Pd-O,"{""Mn"": 0.02549391828792056, ""Ni"": 0.04919373005491758, ""Pd"": 0.9253123516571619}",0,0.561332,0.794802,0.187525,0.344498,3.377304,
1,29,Ni-Pd-Ta-O,"{""Ni"": 0.05248019162461715, ""Pd"": 0.8736341173745683, ""Ta"": 0.07388569100081453}",550,0.629628,1.0,0.026707,-0.071684,3.377304,
1,30,In-Mn-Pd-O,"{""In"": 0.32896188337225674, ""Mn"": 0.26423614068875634, ""Pd"": 0.40680197593898687}",0,0.55631,0.694238,0.142668,0.144329,3.377304,
1,31,In-Mn-Pd-O,"{""In"": 0.05784410646262761, ""Mn"": 0.028938087027910276, ""Pd"": 0.9132178065094622}",550,0.554256,0.562457,0.255731,0.02403,3.377304,
1,32,In-Mn-Pd-O,"{""In"": 0.05218966198465292, ""Mn"": 0.3271353985864145, ""Pd"": 0.6206749394289326}",550,0.575205,0.512036,0.121744,0.081976,3.391573,
1,33,In-Mn-Pd-O,"{""In"": 0.06314132356524435, ""Mn"": 0.1347090477130088, ""Pd"": 0.8021496287217468}",550,0.542188,0.509622,0.13903,0.031273,3.395627,
1,34,In-Mn-Pd-O,"{""In"": 0.042715315416979746, ""Mn"": 0.029348300482695308, ""Pd"": 0.9279363841003249}",550,0.528422,0.533478,0.172136,-0.17164,3.462504,
1,35,In-Mn-Pd-O,"{""In"": 0.03713790635536924, ""Mn"": 0.015349167470548382, ""Pd"": 0.9475129261740823}",550,0.540355,0.554892,0.121049,-0.046614,3.462504,
1,36,Nb-Ni-Ta-O,"{""Nb"": 0.42576836894227577, ""Ni"": 0.488301579189772, ""Ta"": 0.08593005186795219}",550,0.791759,1.0,0.026488,0.016974,3.462504,
1,37,Ni-Pd-Ta-O,"{""Ni"": 0.0818929295586818, ""Pd"": 0.38866217003665976, ""Ta"": 0.5294449004046584}",550,0.752466,1.0,0.002442,-0.000384,3.462504,
1,38,Al-Cu-Mo-O,"{'Al': 0.22305, 'Cu': 0.50511, 'Mo': 0.27183}",700,0.788726,0.984923,0.099857,0.019498,3.462504,
1,39,In-Mn-Pd-O,"{""In"": 0.028990258354419284, ""Mn"": 0.03693590282476674, ""Pd"": 0.934073838820814}",550,0.542964,0.531315,0.059005,-0.136319,3.462867,
1,40,In-Mn-Pd-O,"{""In"": 0.014397582279969259, ""Mn"": 0.22828835007158713, ""Pd"": 0.7573140676484436}",550,0.525714,0.486738,0.058422,0.07178,3.478152,
1,41,In-Mn-Pd-O,"{""In"": 0.04878776822910443, ""Mn"": 0.2879258484740704, ""Pd"": 0.6632863832968252}",550,0.51828,0.495034,0.074601,-0.075646,3.482622,
1,42,In-Mn-Pd-O,"{""In"": 0.06524340670869531, ""Mn"": 0.02153704629566307, ""Pd"": 0.9132195469956416}",550,0.558218,0.541838,0.062408,0.044127,3.482622,
1,43,In-Mn-Pd-O,"{""In"": 0.036791407928505195, ""Mn"": 0.01931446609606981, ""Pd"": 0.9438941259754251}",550,0.521627,0.551155,0.061074,-0.096188,3.482622,
1,44,In-Mn-Pd-O,"{""In"": 0.05379369828820083, ""Mn"": 0.33113609723252174, ""Pd"": 0.6150702044792774}",550,0.51445,0.500854,0.063811,0.058014,3.482622,
1,45,Mn-Ni-Pd-O,"{""Mn"": 0.04169509684582709, ""Ni"": 0.09252990026791898, ""Pd"": 0.8657750028862539}",550,0.653222,0.682331,0.019202,0.083634,3.482622,
1,46,Mn-Pd-Zn-O,"{""Mn"": 0.19464692904140998, ""Pd"": 0.6827823274826441, ""Zn"": 0.12257074347594592}",550,0.580089,0.563531,0.075233,0.115853,3.482622,
1,47,In-Mn-Pd-O,"{""In"": 0.07775666649006174, ""Mn"": 0.3066161909085832, ""Pd"": 0.615627142601355}",0,0.523557,0.610855,0.262968,0.190901,3.482622,
1,48,In-Mn-Pd-O,"{""In"": 0.0502959325660693, ""Mn"": 0.5788076606219809, ""Pd"": 0.3708964068119499}",550,0.675394,0.522018,0.07588,0.123232,3.482622,
1,49,Ni-Pd-Ta-O,"{""Ni"": 0.031209369965014742, ""Pd"": 0.7817180816866676, ""Ta"": 0.1870725483483176}",550,0.698875,0.536471,0.007443,-0.002859,3.482622,
1,50,Mn-Ni-Pd-O,"{""Mn"": 0.2060260359420731, ""Ni"": 0.22065065898585495, ""Pd"": 0.573323305072072}",550,0.62259,0.649202,0.123094,0.110542,3.482622,
2,1,Co-Mn-Nb-O,"{""Co"": 0.47354753643369135, ""Mn"": 0.29874012749559603, ""Nb"": 0.22771233607071256}",400,0.803566,0.811903,0.214704,0.098778,1.74329,
2,2,Mn-Nb-Zn-O,"{'Mn': 0.12448971923321082, 'Nb': 0.720808299209908, 'Zn': 0.1547019815568811}",550,0.934166,0.949239,0.017411,0.006595,1.74329,
2,3,Co-Mo-Pd-O,"{""Co"": 0.10376979236107119, ""Mo"": 0.08462846934591049, ""Pd"": 0.8116017382930183}",550,0.799528,0.649778,0.187724,0.040015,2.191646,
2,4,Co-Mo-Pd-O,"{""Co"": 0.27725537865851374, ""Mo"": 0.21107325182634606, ""Pd"": 0.5116713695151401}",550,0.799869,0.640417,0.124798,0.222595,2.247907,
2,5,Co-In-Si-O,"{""Co"": 0.1668991932334837, ""In"": 0.8331008067665162}",550,0.77995,1.0,0.076903,0.25492,2.247907,
2,6,Mn-Pd-Zn-O,"{""Mn"": 0.030963692468232024, ""Pd"": 0.7418484037406559, ""Zn"": 0.22718790379111203}",550,0.714612,0.595813,0.133623,0.152457,2.51977,
2,7,Al-Cu-Mo-O,"{'Al': 0.04351, 'Cu': 0.01847, 'Mo': 0.93802}",550,0.876957,0.945614,0.02957,0.12888,2.51977,
2,8,Mn-Ni-Pd-O,"{""Mn"": 0.11736376963788844, ""Ni"": 0.0905246155730535, ""Pd"": 0.792111614789058}",550,0.676138,0.622796,0.128339,-0.009966,2.529186,
2,9,Co-Ni-Pd-O,"{""Co"": 0.027720495851645238, ""Ni"": 0.0031830419040517603, ""Pd"": 0.969096462244303}",550,0.657651,1.0,0.093862,0.029055,2.529186,
2,10,In-Mn-Pd-O,"{""In"": 0.05379369828820083, ""Mn"": 0.33113609723252174, ""Pd"": 0.6150702044792774}",550,0.644825,0.500854,0.096593,0.058014,3.118089,
2,11,In-Mn-Pd-O,"{""In"": 0.05218966198465292, ""Mn"": 0.3271353985864145, ""Pd"": 0.6206749394289326}",550,0.553774,0.512036,0.059307,0.081976,3.118089,
2,12,In-Mn-Pd-O,"{""In"": 0.07775666649006174, ""Mn"": 0.3066161909085832, ""Pd"": 0.615627142601355}",0,0.554795,0.610855,0.07503,0.190901,3.118089,
2,13,In-Mn-Pd-O,"{""In"": 0.042409494002724576, ""Mn"": 0.42689256270205694, ""Pd"": 0.5306979432952185}",550,0.560758,0.507859,0.090998,-0.034148,3.131769,
2,14,In-Mn-Pd-O,"{""In"": 0.07801338718013939, ""Mn"": 0.39997167883629875, ""Pd"": 0.5220149339835619}",550,0.538627,0.543262,0.036858,0.139143,3.131769,
2,15,Mn-Pd-Zn-O,"{""Mn"": 0.48966437868125506, ""Pd"": 0.42888968180492804, ""Zn"": 0.08144593951381679}",550,0.620415,0.609758,0.023107,0.230775,3.131769,
2,16,In-Mn-Pd-O,"{""In"": 0.05021822544889951, ""Mn"": 0.5238487840934755, ""Pd"": 0.42593299045762506}",550,0.567096,0.521999,0.049436,0.133746,3.131769,
2,17,In-Mn-Pd-O,"{""In"": 0.044310571423111254, ""Mn"": 0.07464775799245787, ""Pd"": 0.8810416705844308}",550,0.780118,0.527397,0.071155,-0.148576,3.181566,
2,18,In-Mn-Pd-O,"{""In"": 0.014397582279969259, ""Mn"": 0.22828835007158713, ""Pd"": 0.7573140676484436}",550,0.542797,0.486738,0.023264,0.07178,3.268537,
2,19,In-Mn-Pd-O,"{""In"": 0.06314132356524435, ""Mn"": 0.1347090477130088, ""Pd"": 0.8021496287217468}",550,0.596304,0.509622,0.063186,0.031273,3.268537,
2,20,In-Mn-Pd-O,"{""In"": 0.056100900792319205, ""Mn"": 0.0634796603358694, ""Pd"": 0.8804194388718114}",550,0.626151,0.547571,0.010509,-0.072961,3.268537,
2,21,In-Mn-Pd-O,"{""In"": 0.06189116978794804, ""Mn"": 0.0987940365867387, ""Pd"": 0.8393147936253132}",550,0.539366,0.528069,0.002154,0.068041,3.268537,
2,22,In-Mn-Pd-O,"{""In"": 0.028990258354419284, ""Mn"": 0.03693590282476674, ""Pd"": 0.934073838820814}",550,0.64622,0.531315,-0.039266,-0.136319,3.268537,
2,23,In-Mn-Pd-O,"{""In"": 0.04878776822910443, ""Mn"": 0.2879258484740704, ""Pd"": 0.6632863832968252}",550,0.51671,0.495034,0.059368,-0.075646,3.271143,
2,24,In-Mn-Pd-O,"{""In"": 0.036791407928505195, ""Mn"": 0.01931446609606981, ""Pd"": 0.9438941259754251}",550,0.594225,0.551155,-0.082049,-0.096188,3.271143,
2,25,In-Mn-Pd-O,"{""In"": 0.051113998960960604, ""Mn"": 0.0390079742062255, ""Pd"": 0.9098780268328138}",550,0.626409,0.540145,-0.05604,-0.071844,3.271143,
2,26,In-Mn-Pd-O,"{""In"": 0.07023121592726059, ""Mn"": 0.27670140169429713, ""Pd"": 0.6530673823784422}",550,0.539641,0.507365,0.062538,0.090649,3.271143,
2,27,In-Mn-Pd-O,"{""In"": 0.05891653681514183, ""Mn"": 0.04827078204685004, ""Pd"": 0.892812681138008}",550,0.600175,0.529626,-0.052549,-0.234391,3.311508,
2,28,In-Mn-Pd-O,"{""In"": 0.06524340670869531, ""Mn"": 0.02153704629566307, ""Pd"": 0.9132195469956416}",550,0.583555,0.541838,-0.096125,0.044127,3.311508,
2,29,In-Mn-Pd-O,"{""In"": 0.05985814259108442, ""Mn"": 0.042915300831115576, ""Pd"": 0.8972265565778}",550,0.543882,0.567808,-0.133564,-0.05914,3.311508,
2,30,Co-Mo-Pd-O,"{""Co"": 0.10032989169254711, ""Mo"": 0.07425483425251889, ""Pd"": 0.8254152740549341}",550,0.700498,0.648482,0.033123,0.00982,3.311508,
2,31,In-Mn-Pd-O,"{""In"": 0.28985393550867283, ""Mn"": 0.1965331105863635, ""Pd"": 0.5136129539049638}",550,0.623677,0.631926,0.086289,0.06893,3.311508,
2,32,In-Mn-Pd-O,"{""In"": 0.0502959325660693, ""Mn"": 0.5788076606219809, ""Pd"": 0.3708964068119499}",550,0.633139,0.522018,0.149371,0.123232,3.311508,
2,33,Co-Ni-Pd-O,"{""Co"": 0.09953592232789549, ""Ni"": 0.012605030408202019, ""Pd"": 0.8878590472639025}",550,0.718967,0.698798,-0.005825,0.04045,3.311508,
2,34,Mn-Ni-Pd-O,"{""Mn"": 0.01715741329294175, ""Ni"": 0.02579982314563415, ""Pd"": 0.957042763561424}",550,0.636263,0.589354,-0.017192,0.051037,3.311508,
2,35,Mn-Pd-Zn-O,"{""Mn"": 0.0361211644589684, ""Pd"": 0.9294179146764211, ""Zn"": 0.034460920864610466}",550,0.635039,0.575991,6e-06,0.019029,3.311508,
2,36,Mn-Pd-Zn-O,"{""Mn"": 0.01785209824110034, ""Pd"": 0.9522700654484872, ""Zn"": 0.029877836310412426}",0,0.60169,0.466356,0.026706,0.432227,3.429733,
2,37,In-Mn-Pd-O,"{""In"": 0.042715315416979746, ""Mn"": 0.029348300482695308, ""Pd"": 0.9279363841003249}",550,0.544708,0.533478,-0.095868,-0.17164,3.429733,
2,38,Co-Mo-Pd-O,"{""Co"": 0.034022044515396845, ""Mo"": 0.02622696912923324, ""Pd"": 0.9397509863553699}",550,0.776848,0.631456,0.009742,-0.05169,3.429733,
2,39,Ag-Ni-Sb-O,"{'Ni': 0.16774, 'Sb': 0.21112, 'Ag': 0.62114}",550,0.801413,0.872976,0.033392,0.678401,3.429733,
2,40,Co-Mo-Pd-O,"{""Co"": 0.03613773428151043, ""Mo"": 0.021021919813891787, ""Pd"": 0.9428403459045978}",550,0.644099,0.628865,-0.015853,-0.06209,3.429733,
2,41,Ag-Ge-Hf-O,"{""Ag"": 0.5664071649341534, ""Ge"": 0.3629017861302668, ""Hf"": 0.07069104893557973}",550,0.693278,0.835272,0.122745,0.323715,3.429733,
2,42,Mn-Ni-Pd-O,"{""Mn"": 0.04852505166983407, ""Ni"": 0.027224432947693954, ""Pd"": 0.9242505153824719}",550,0.558009,0.573906,0.002462,0.179134,3.429733,
2,43,Co-Ni-Pd-O,"{""Co"": 0.023424670306801964, ""Ni"": 0.002467217132874793, ""Pd"": 0.9741081125603234}",550,0.860744,1.0,0.066231,0.034582,3.429733,
2,44,In-Mn-Pd-O,"{""In"": 0.03713790635536924, ""Mn"": 0.015349167470548382, ""Pd"": 0.9475129261740823}",550,0.543547,0.554892,-0.073622,-0.046614,3.429733,
2,45,Co-Mo-Pd-O,"{""Co"": 0.033903829495954954, ""Mo"": 0.0265158798464327, ""Pd"": 0.9395802906576124}",550,0.712816,0.644926,-0.038593,0.140218,3.429733,
2,46,Co-Mo-Pd-O,"{""Co"": 0.037560566516235266, ""Mo"": 0.026989012883833388, ""Pd"": 0.9354504205999313}",550,0.65677,0.652227,0.009957,-0.022575,3.429733,
2,47,Co-Ni-Pd-O,"{""Co"": 0.07714628976073759, ""Ni"": 0.005391212764659201, ""Pd"": 0.9174624974746033}",550,0.752418,0.780653,0.070062,0.008519,3.429733,
2,48,In-Mn-Pd-O,"{""In"": 0.32896188337225674, ""Mn"": 0.26423614068875634, ""Pd"": 0.40680197593898687}",0,0.645104,0.694238,0.114468,0.144329,3.429733,
2,49,Mn-Pd-Zn-O,"{""Mn"": 0.022538290833470104, ""Pd"": 0.9385379124276367, ""Zn"": 0.0389237967388931}",0,0.590288,0.498219,0.201841,0.420031,3.429733,
2,50,In-Mn-Pd-O,"{""In"": 0.09571536581703892, ""Mn"": 0.25730804212694447, ""Pd"": 0.6469765920560167}",0,0.568203,0.593006,0.157741,0.321881,3.429733,
3,1,Co-Mn-Ti-O,"{'Co': 0.49197, 'Mn': 0.07539, 'Ti': 0.43264}",550,0.780661,1.0,0.263115,-0.026596,1.74329,
3,2,Co-Mn-Mo-O,"{'Mn': 0.4963639939584298, 'Co': 0.0738018278910136, 'Mo': 0.4298341781505566}",550,0.821491,0.735408,0.183646,0.111675,1.746464,
3,3,Co-In-Si-O,"{""Co"": 0.1668991932334837, ""In"": 0.8331008067665162}",550,0.88472,1.0,0.049853,0.25492,1.746464,
3,4,Co-Mn-Mo-O,"{'Mn': 0.6974685523763048, 'Co': 0.12446397163500819, 'Mo': 0.17806747598868708}",550,0.77901,0.754972,0.19353,0.138129,1.746464,
3,5,Mn-Ni-Pd-O,"{""Mn"": 0.16526458045864276, ""Ni"": 0.48693677612164016, ""Pd"": 0.34779864341971695}",0,0.744736,0.605276,0.160048,0.492492,2.409499,
3,6,Co-Mn-Mo-O,"{'Mn': 0.08467, 'Co': 0.1006, 'Mo': 0.81473}",550,0.78935,1.0,0.155577,0.015867,2.409499,
3,7,Mn-Ni-Pd-O,"{""Mn"": 0.50407457867966, ""Ni"": 0.1532970418116968, ""Pd"": 0.34262837950864317}",550,0.751679,0.607767,0.276101,0.094021,2.458401,
3,8,Mn-Ni-Pd-O,"{""Mn"": 0.5994147032096059, ""Ni"": 0.2278498785817519, ""Pd"": 0.17273541820864213}",550,0.677496,0.627012,0.237487,0.058662,2.462767,
3,9,In-Mn-Pd-O,"{""In"": 0.0502959325660693, ""Mn"": 0.5788076606219809, ""Pd"": 0.3708964068119499}",550,0.644744,0.522018,0.190581,0.123232,2.972359,
3,10,Al-Cu-Mo-O,"{'Al': 0.24184, 'Cu': 0.23104, 'Mo': 0.52711}",550,0.817157,0.934199,0.088225,0.047352,2.972359,
3,11,In-Mn-Pd-O,"{""In"": 0.06455292438018106, ""Mn"": 0.6773031227311312, ""Pd"": 0.25814395288868774}",550,0.628109,0.542017,0.113245,0.158192,2.972359,
3,12,In-Mn-Pd-O,"{""In"": 0.04009563164933452, ""Mn"": 0.687476608887267, ""Pd"": 0.2724277594633984}",0,0.563478,0.759601,0.139171,0.455977,2.972359,
3,13,Mn-Pd-Zn-O,"{""Mn"": 0.5738663435618306, ""Pd"": 0.33790233754554266, ""Zn"": 0.08823131889262667}",550,0.604966,0.661842,0.190686,0.318228,2.972359,
3,14,In-Mn-Pd-O,"{""In"": 0.13954616380714097, ""Mn"": 0.6422981138632722, ""Pd"": 0.21815572232958683}",550,0.671518,0.607199,0.148504,0.105084,2.972369,
3,15,Mn-Ni-Pd-O,"{""Mn"": 0.464191210628284, ""Ni"": 0.1392677471267151, ""Pd"": 0.39654104224500086}",550,0.660615,0.602754,0.235913,0.112279,2.972418,
3,16,In-Mn-Pd-O,"{""In"": 0.09775736023697856, ""Mn"": 0.7060988265887281, ""Pd"": 0.19614381317429339}",550,0.683725,0.622227,0.19492,0.106921,2.972418,
3,17,Mn-Ni-Pd-O,"{""Mn"": 0.7307452863445583, ""Ni"": 0.10985385197996474, ""Pd"": 0.1594008616754769}",0,0.677122,0.718132,0.187968,0.229944,2.972418,
3,18,Al-Cu-Mo-O,"{'Al': 0.21127, 'Cu': 0.22427, 'Mo': 0.56446}",550,0.792536,0.926848,0.081295,0.096763,2.972418,
3,19,Cr-Sb-V-O,"{""Cr"": 0.32733371470625133, ""Sb"": 0.06230407537031734, ""V"": 0.6103622099234313}",550,0.768257,0.896955,0.134586,0.286055,2.972418,
3,20,Mn-Ni-Pd-O,"{""Mn"": 0.5929110794092751, ""Ni"": 0.12855174100965305, ""Pd"": 0.2785371795810718}",550,0.650372,0.602846,0.209763,0.150665,2.972418,
3,21,Co-Mn-W-O,"{'Co': 0.07025834467922805, 'W': 0.18347732610173184, 'Mn': 0.7462643292190402}",0,0.757715,0.691477,0.160689,0.207647,2.972418,
3,22,Mn-Pd-Zn-O,"{""Mn"": 0.3983224459385518, ""Pd"": 0.3902568850026192, ""Zn"": 0.21142066905882895}",550,0.734472,0.692111,0.230419,0.287283,2.972418,
3,23,Co-Mn-Ti-O,"{'Co': 0.27664, 'Mn': 0.09892, 'Ti': 0.62443}",550,0.858624,1.0,0.133438,-0.112104,2.972418,
3,24,In-Mn-Pd-O,"{""In"": 0.038229382354695265, ""Mn"": 0.7245933352881092, ""Pd"": 0.23717728235719557}",0,0.700194,0.743952,0.304082,0.443147,2.972418,
3,25,Al-Ni-Ti-O,"{'Ni': 0.42687, 'Al': 0.09505, 'Ti': 0.47808}",550,0.874192,0.901453,0.084982,0.194073,2.972418,
3,26,In-Mn-Pd-O,"{""In"": 0.05021822544889951, ""Mn"": 0.5238487840934755, ""Pd"": 0.42593299045762506}",550,0.78057,0.521999,0.149622,0.133746,2.972537,
3,27,In-Mn-Pd-O,"{""In"": 0.09657890374188693, ""Mn"": 0.5563088524004375, ""Pd"": 0.3471122438576756}",550,0.737326,0.556307,0.128309,0.106146,2.973357,
3,28,In-Mn-Pd-O,"{""In"": 0.042409494002724576, ""Mn"": 0.42689256270205694, ""Pd"": 0.5306979432952185}",550,0.713643,0.507859,0.168241,-0.034148,3.088514,
3,29,In-Mn-Pd-O,"{""In"": 0.07801338718013939, ""Mn"": 0.39997167883629875, ""Pd"": 0.5220149339835619}",550,0.622358,0.543262,0.060456,0.139143,3.088514,
3,30,In-Mn-Pd-O,"{""In"": 0.05379369828820083, ""Mn"": 0.33113609723252174, ""Pd"": 0.6150702044792774}",550,0.596011,0.500854,0.074035,0.058014,3.131769,
3,31,In-Mn-Pd-O,"{""In"": 0.05218966198465292, ""Mn"": 0.3271353985864145, ""Pd"": 0.6206749394289326}",550,0.550383,0.512036,0.088616,0.081976,3.131769,
3,32,Mn-Ni-Pd-O,"{""Mn"": 0.2060260359420731, ""Ni"": 0.22065065898585495, ""Pd"": 0.573323305072072}",550,0.583857,0.649202,0.07808,0.110542,3.131769,
3,33,In-Mn-Pd-O,"{""In"": 0.11262280234658081, ""Mn"": 0.4597804111391463, ""Pd"": 0.42759678651427285}",550,0.610725,0.558834,0.097426,0.096854,3.131769,
3,34,In-Mn-Pd-O,"{""In"": 0.17840931338889668, ""Mn"": 0.532916768531654, ""Pd"": 0.2886739180794493}",550,0.712049,0.604958,0.081601,0.100223,3.131769,
3,35,Mn-Ni-Pd-O,"{""Mn"": 0.2901265714719373, ""Ni"": 0.07260810452198739, ""Pd"": 0.6372653240060753}",550,0.591475,0.520901,0.089511,0.087115,3.131769,
3,36,Mn-Ni-Pd-O,"{""Mn"": 0.32837476139069816, ""Ni"": 0.06679205532832869, ""Pd"": 0.6048331832809731}",550,0.548147,0.523845,0.094419,0.176908,3.131769,
3,37,In-Mn-Pd-O,"{""In"": 0.07023121592726059, ""Mn"": 0.27670140169429713, ""Pd"": 0.6530673823784422}",550,0.604114,0.507365,0.090028,0.090649,3.131769,
3,38,In-Mn-Pd-O,"{""In"": 0.07978659119665726, ""Mn"": 0.2369801359400674, ""Pd"": 0.6832332728632754}",550,0.583526,0.508896,0.082442,0.028395,3.131769,
3,39,In-Mn-Pd-O,"{""In"": 0.04878776822910443, ""Mn"": 0.2879258484740704, ""Pd"": 0.6632863832968252}",550,0.522871,0.495034,0.095497,-0.075646,3.185561,
3,40,In-Mn-Pd-O,"{""In"": 0.014397582279969259, ""Mn"": 0.22828835007158713, ""Pd"": 0.7573140676484436}",550,0.567939,0.486738,0.106177,0.07178,3.236676,
3,41,In-Mn-Pd-O,"{""In"": 0.08561389016399013, ""Mn"": 0.1313398420440644, ""Pd"": 0.7830462677919455}",550,0.502193,0.557793,0.045987,0.069428,3.236676,
3,42,Ni-Pd-Ta-O,"{""Ni"": 0.026333215251755263, ""Pd"": 0.9383426092654501, ""Ta"": 0.0353241754827947}",0,0.569035,0.468703,0.102419,0.33622,3.343016,
3,43,Ag-Nb-Ni-O,"{""Ag"": 0.6463658151961346, ""Nb"": 0.27048141653330476, ""Ni"": 0.08315276827056055}",550,0.593736,1.0,0.117647,0.253353,3.343016,
3,44,Ag-Ni-Sb-O,"{'Sb': 0.02734, 'Ni': 0.47502, 'Ag': 0.49764}",0,0.625588,0.938653,0.111045,0.803575,3.343016,
3,45,Co-Mn-Mo-O,"{'Mn': 0.20968, 'Co': 0.1694, 'Mo': 0.62092}",550,0.789851,0.944551,0.082374,0.026525,3.343016,
3,46,In-Mn-Pd-O,"{""In"": 0.08051682457864125, ""Mn"": 0.16358109823978675, ""Pd"": 0.755902077181572}",550,0.585492,0.546335,0.0535,0.044137,3.343016,
