repeat,step,material_system,composition,anneal_T_C,actual_overpotential_V,actual_molar_change,hypervolume,n_remaining
1,18,Co-Mo-Pd-O,"{""Co"": 0.09233673184010917, ""Mo"": 0.7903639172516352, ""Pd"": 0.11729935090825562}",0,0.961361,0.648597,2.743946,2270
1,19,Co-Nb-Sn-O,"{'Co': 0.93201, 'Nb': 0.03814, 'Sn': 0.02985}",550,0.689592,-0.035631,2.752014,2269
1,20,Al-Cu-Mo-O,"{'Al': 0.805, 'Cu': 0.14649, 'Mo': 0.04851}",550,1.077809,0.045591,2.752014,2268
1,21,Co-Sb-Zr-O,"{""Co"": 0.43780036501604824, ""Sb"": 0.44270093390999943, ""Zr"": 0.11949870107395237}",550,1.504044,-0.00215,2.752014,2267
1,22,Bi-Co-Mo-O,"{'Bi': 0.92991, 'Mo': 0.01548, 'Co': 0.05461}",0,10.734422,1.209891,2.752014,2266
1,23,Bi-Co-Sb-O,"{'Sb': 0.19317, 'Bi': 0.38169, 'Co': 0.42514}",0,0.95465,0.371006,2.752014,2265
1,24,Ag-Nb-Ni-O,"{""Ag"": 0.8623499636577189, ""Nb"": 0.04172184056655632, ""Ni"": 0.09592819577572473}",550,1.266063,0.971529,2.752014,2264
1,25,Co-Ni-Zr-O,"{""Co"": 0.4568884367917565, ""Ni"": 0.19992631002143835, ""Zr"": 0.34318525318680515}",0,0.592815,0.447263,2.752014,2263
1,26,Co-Nb-Zr-O,"{""Co"": 0.8593239793489539, ""Nb"": 0.04272475548422236, ""Zr"": 0.09795126516682379}",550,0.626091,0.062305,2.754208,2262
1,27,Mn-Pd-Zn-O,"{""Mn"": 0.0361211644589684, ""Pd"": 0.9294179146764211, ""Zn"": 0.034460920864610466}",550,0.575991,0.019029,2.760855,2261
1,28,Bi-Ni-Zr-O,"{""Bi"": 0.828749864810464, ""Ni"": 0.10209702058050829, ""Zr"": 0.06915311460902779}",0,0.946109,1.122578,2.760855,2260
1,29,Co-Nb-Sn-O,"{'Co': 0.27454386718136153, 'Nb': 0.5495562083960752, 'Sn': 0.17589992442256341}",700,0.98162,-0.059267,2.760938,2259
1,30,In-Mn-Pd-O,"{""In"": 0.2751377635220254, ""Mn"": 0.15466258695960994, ""Pd"": 0.5701996495183647}",550,0.74366,0.086365,2.760938,2258
1,31,Co-Nb-Sn-O,"{'Co': 0.57431, 'Nb': 0.31877, 'Sn': 0.10692}",700,0.999811,-0.046009,2.760938,2257
1,32,Mn-Pd-Zn-O,"{""Mn"": 0.05641840501494038, ""Pd"": 0.3288560546278727, ""Zn"": 0.614725540357187}",550,0.591823,0.544183,2.760938,2256
1,33,Co-Mn-Nb-O,"{""Co"": 0.45743165710405725, ""Mn"": 0.5041132737228817, ""Nb"": 0.03845506917306099}",550,0.831702,0.181098,2.760938,2255
1,34,Al-Ni-Ti-O,"{'Ni': 0.59332, 'Al': 0.21623, 'Ti': 0.19045}",550,0.892795,0.198203,2.760938,2254
1,35,Cr-Sb-V-O,"{""Cr"": 0.22061323423895102, ""Sb"": 0.04019211808474217, ""V"": 0.7391946476763068}",0,1.020448,0.342635,2.760938,2253
1,36,Cr-Sb-V-O,"{""Cr"": 0.23442180252334482, ""Sb"": 0.5872735051974026, ""V"": 0.17830469227925258}",550,0.993982,0.050086,2.760938,2252
1,37,Fe-Ni-Ta-O,"{""Fe"": 0.27249421367111226, ""Ni"": 0.12986159381992735, ""Ta"": 0.5976441925089604}",400,1.118643,0.015632,2.760938,2251
1,38,Mn-Nb-Zn-O,"{'Mn': 0.02301053404905988, 'Nb': 0.7888124026377109, 'Zn': 0.18817706331322925}",550,1.515468,-0.004341,2.760938,2250
1,39,Fe-Sb-W-O,"{""Fe"": 0.8215729162128268, ""Sb"": 0.004602128377021712, ""W"": 0.17382495541015155}",550,1.029806,0.01267,2.760938,2249
1,40,Al-Bi-Co-O,"{'Al': 0.11973, 'Co': 0.69697, 'Bi': 0.1833}",550,0.812904,0.126515,2.760938,2248
1,41,Al-Cu-Mo-O,"{'Al': 0.22305, 'Cu': 0.50511, 'Mo': 0.27183}",700,0.984923,0.019498,2.760938,2247
1,42,Bi-Co-Mo-O,"{'Bi': 0.84156, 'Mo': 0.02762, 'Co': 0.13082}",0,1.051585,1.440223,2.760938,2246
1,43,Co-Mn-Ti-O,"{'Co': 0.78039, 'Mn': 0.03562, 'Ti': 0.18398}",700,0.744653,0.084861,2.760938,2245
1,44,Ag-Ge-Hf-O,"{""Ag"": 0.6220274553181959, ""Ge"": 0.2924656100630363, ""Hf"": 0.08550693461876764}",550,0.811933,0.36574,2.760938,2244
1,45,Fe-Sb-W-O,"{""Fe"": 0.9714242027201236, ""Sb"": 0.028575797279876386, ""W"": 0.0}",550,0.969932,0.011978,2.760938,2243
1,46,Fe-Sb-W-O,"{'Sb': 0.00835568299528857, 'W': 0.7434903339372888, 'Fe': 0.24815398306742253}",0,0.961702,0.106154,2.760938,2242
1,47,Co-Nb-Sn-O,"{'Co': 0.81861, 'Nb': 0.12534, 'Sn': 0.05605}",700,0.707959,-0.032837,2.760938,2241
1,48,Mn-Nb-Sb-O,"{""Mn"": 0.1313915211994924, ""Nb"": 0.8409353212340209, ""Sb"": 0.02767315756648663}",550,1.782132,-0.014696,2.760938,2240
1,49,Bi-Co-Mo-O,"{'Bi': 0.54214, 'Mo': 0.09294, 'Co': 0.36491}",0,1.101378,0.773214,2.760938,2239
1,50,Co-Hf-Zr-O,"{""Co"": 0.4439410441800648, ""Hf"": 0.121819320578055, ""Zr"": 0.43423963524188025}",550,0.856331,0.093633,2.760938,2238
2,1,Co-Nb-Sn-O,"{'Co': 0.86909, 'Nb': 0.10602, 'Sn': 0.02489}",550,0.68027,-0.025632,2.00742,2287
2,2,Co-In-Zr-O,"{""Co"": 0.09305840112635345, ""In"": 0.19505153033047448, ""Zr"": 0.711890068543172}",550,1.063246,0.045768,2.00742,2286
2,3,Ag-Ge-Hf-O,"{""Ag"": 0.2168099905780382, ""Ge"": 0.6419433803476877, ""Hf"": 0.1412466290742741}",550,0.926503,0.432808,2.00742,2285
2,4,Ag-Nb-Ni-O,"{""Ag"": 0.775445937558044, ""Nb"": 0.15176543615430063, ""Ni"": 0.07278862628765538}",550,0.974952,0.537266,2.00742,2284
2,5,Fe-In-Ni-O,"{""Fe"": 0.06366226666145675, ""In"": 0.5857319676028221, ""Ni"": 0.3506057657357212}",500,0.997814,0.602671,2.00742,2283
2,6,Ag-Ge-Hf-O,"{""Ag"": 0.89728148964178, ""Ge"": 0.036587121797811685, ""Hf"": 0.06613138856040833}",550,1.00083,0.669601,2.00742,2282
2,7,Co-In-Zr-O,"{""Co"": 0.044826088960019495, ""In"": 0.07088445829450496, ""Zr"": 0.8842894527454755}",550,1.2382,0.021601,2.00742,2281
2,8,Co-Mn-Mo-O,"{'Mn': 0.11284, 'Co': 0.12717, 'Mo': 0.75998}",550,1.027889,0.032318,2.00742,2280
2,9,Co-Nb-Zr-O,"{""Co"": 0.8777554733551486, ""Nb"": 0.0045708764337756835, ""Zr"": 0.11767365021107572}",0,0.583794,0.373082,2.572744,2279
2,10,Co-Mn-Zr-O,"{""Co"": 0.6306605659000143, ""Mn"": 0.30634279517932134, ""Zr"": 0.06299663892066441}",550,0.793098,0.001786,2.572744,2278
2,11,Co-In-Si-O,"{""Co"": 0.368458171964495, ""In"": 0.6315418280355051}",550,0.988909,0.129679,2.572744,2277
2,12,Co-Ni-Pd-O,"{""Co"": 0.28919668837972684, ""Ni"": 0.22927812510082102, ""Pd"": 0.48152518651945214}",0,0.699492,0.158953,2.572744,2276
2,13,Ag-Ge-Hf-O,"{""Ag"": 0.18966861481461966, ""Ge"": 0.2856433682017199, ""Hf"": 0.5246880169836604}",550,1.229883,0.062237,2.572744,2275
2,14,Co-Nb-Sn-O,"{'Co': 0.7112304451831268, 'Nb': 0.21680853383548435, 'Sn': 0.0719610209813888}",700,0.703028,-0.024405,2.572744,2274
2,15,Co-In-Si-O,"{""Co"": 0.13047479003887047, ""In"": 0.8695252099611296}",550,0.979049,0.304859,2.572744,2273
2,16,Co-Mn-W-O,"{'Co': 0.9057325570485657, 'W': 0.06597036249739363, 'Mn': 0.028297080454040575}",0,0.58308,0.33214,2.580911,2272
2,17,Mn-Pd-Zn-O,"{""Mn"": 0.026761684832843677, ""Pd"": 0.16948892449128314, ""Zn"": 0.8037493906758731}",550,0.907279,1.239164,2.580911,2271
2,18,Ag-Ni-Sb-O,"{'Sb': 0.00613, 'Ni': 0.02755, 'Ag': 0.96632}",0,0.924153,2.241688,2.580911,2270
2,19,Ni-Pd-Ta-O,"{""Ni"": 0.35462782844477203, ""Pd"": 0.30538205132237606, ""Ta"": 0.33999012023285197}",550,0.887275,0.016514,2.580911,2269
2,20,Co-Fe-Zr-O,"{""Co"": 0.09695862167309581, ""Fe"": 0.059148686732171885, ""Zr"": 0.8438926915947322}",550,1.532262,0.047872,2.580911,2268
2,21,Ag-Ni-Sb-O,"{'Sb': 0.02072, 'Ni': 0.24644, 'Ag': 0.73284}",0,1.003083,1.090429,2.580911,2267
2,22,Fe-In-Ni-O,"{""Fe"": 0.2518423812701056, ""In"": 0.3415188454504711, ""Ni"": 0.4066387732794234}",500,1.013452,0.360095,2.580911,2266
2,23,Co-In-Si-O,"{""Co"": 0.45337134581899435, ""In"": 0.5466286541810056}",550,5.603892,0.002481,2.580911,2265
2,24,Al-Cu-Mo-O,"{'Al': 0.13465, 'Cu': 0.60029, 'Mo': 0.26507}",550,0.930994,0.13738,2.580911,2264
2,25,Co-In-Zr-O,"{""Co"": 0.42023153090723614, ""In"": 0.48158654336902107, ""Zr"": 0.09818192572374274}",550,0.667736,0.205127,2.582503,2263
2,26,Ag-Nb-Ni-O,"{""Ag"": 0.4670287413656379, ""Nb"": 0.022546410862005754, ""Ni"": 0.5104248477723563}",550,0.711607,0.420491,2.582503,2262
2,27,Ni-Sb-W-O,"{""Ni"": 0.21102107389977598, ""Sb"": 0.014860006377064854, ""W"": 0.7741189197231593}",550,0.89509,1.709591,2.582503,2261
2,28,Ge-In-Zr-O,"{""Ge"": 0.9118744907653304, ""In"": 0.05455556679187447, ""Zr"": 0.03356994244279508}",0,1.001109,1.107775,2.582503,2260
2,29,Ni-Pd-Ta-O,"{""Ni"": 0.06497016675708737, ""Pd"": 0.889758224718729, ""Ta"": 0.045271608524183535}",550,0.647123,0.004436,2.591773,2259
2,30,Co-Mn-Ti-O,"{'Co': 0.73931, 'Mn': 0.03869, 'Ti': 0.22201}",700,0.758984,0.029,2.591773,2258
2,31,Mn-Pd-Zn-O,"{""Mn"": 0.03564564661632152, ""Pd"": 0.669120315294314, ""Zn"": 0.29523403808936444}",550,0.572157,0.212182,2.665217,2257
2,32,Co-Mn-W-O,"{'Co': 0.19229913941387053, 'W': 0.2624887617316374, 'Mn': 0.5452120988544921}",550,0.728681,0.193794,2.665217,2256
2,33,Ag-Ni-Sb-O,"{'Sb': 0.03919, 'Ni': 0.43603, 'Ag': 0.52478}",0,0.928008,0.766482,2.665217,2255
2,34,Bi-Co-Sb-O,"{'Sb': 0.3662, 'Bi': 0.44905, 'Co': 0.18475}",550,0.933227,0.163631,2.665217,2254
2,35,Mn-Nb-Zn-O,"{'Mn': 0.10305137710405644, 'Nb': 0.792207357769105, 'Zn': 0.10474126512683843}",700,1.133488,0.016553,2.665217,2253
2,36,Mn-Ni-Pd-O,"{""Mn"": 0.11736376963788844, ""Ni"": 0.0905246155730535, ""Pd"": 0.792111614789058}",550,0.622796,-0.009966,2.671098,2252
2,37,Bi-Ni-Zr-O,"{""Bi"": 0.26033860733911884, ""Ni"": 0.020396274084888363, ""Zr"": 0.7192651185759927}",550,1.296392,0.112824,2.671098,2251
2,38,Al-Bi-Co-O,"{'Al': 0.28245, 'Co': 0.49571, 'Bi': 0.22184}",550,10.664156,-0.033816,2.671098,2250
2,39,Co-Nb-Zr-O,"{""Co"": 0.05118157860047254, ""Nb"": 0.001351481796014952, ""Zr"": 0.9474669396035126}",550,1.551687,0.00027,2.671098,2249
2,40,Bi-Co-Sb-O,"{'Sb': 0.00659, 'Bi': 0.84361, 'Co': 0.1498}",0,0.974238,1.072492,2.671098,2248
2,41,Mn-Ni-Pd-O,"{""Mn"": 0.15088040739473965, ""Ni"": 0.5843630499831977, ""Pd"": 0.2647565426220628}",550,0.704258,0.390578,2.671098,2247
2,42,Fe-Sb-W-O,"{""Fe"": 0.009222159916872058, ""Sb"": 0.000262439262189683, ""W"": 0.9905154008209381}",550,1.221994,-0.125498,2.671098,2246
2,43,Co-Ni-Pd-O,"{""Co"": 0.25596020863164903, ""Ni"": 0.12306368372571383, ""Pd"": 0.6209761076426372}",550,1.063339,0.011207,2.671098,2245
2,44,Fe-Sb-W-O,"{""Fe"": 0.053281706630836645, ""Sb"": 0.0030477721923588526, ""W"": 0.9436705211768045}",550,1.027596,-0.024967,2.671098,2244
2,45,Mn-Nb-Sb-O,"{""Mn"": 0.23317366460647437, ""Nb"": 0.7641657475114446, ""Sb"": 0.0026605878820810855}",550,1.785186,-0.011042,2.671098,2243
2,46,Bi-Co-Mo-O,"{'Bi': 0.94536, 'Mo': 0.00784, 'Co': 0.0468}",0,10.740128,0.885749,2.671098,2242
2,47,Co-Mn-Ti-O,"{'Co': 0.14131, 'Mn': 0.07579, 'Ti': 0.7829}",700,1.125945,-0.046579,2.671098,2241
2,48,Co-Mn-Mo-O,"{'Mn': 0.81403, 'Co': 0.13716, 'Mo': 0.04882}",550,0.737542,0.1337,2.671098,2240
2,49,Ag-Nb-Ni-O,"{""Ag"": 0.9403802488116261, ""Nb"": 0.038131939519599756, ""Ni"": 0.021487811668774136}",550,0.879522,1.466686,2.671098,2239
2,50,Co-Ni-Zr-O,"{""Co"": 0.13082643079600653, ""Ni"": 0.805903334786591, ""Zr"": 0.06327023441740245}",550,0.707838,0.662611,2.671098,2238
3,1,Co-Mn-Ti-O,"{'Co': 0.59538, 'Mn': 0.27372, 'Ti': 0.1309}",550,0.871155,0.005378,1.74329,2287
3,2,Co-Ni-Ta-O,"{""Co"": 0.7143254991620068, ""Ni"": 0.2175455842677984, ""Ta"": 0.06812891657019467}",550,0.701854,0.132465,1.864652,2286
3,3,Bi-Co-Mo-O,"{'Bi': 0.19516, 'Mo': 0.53346, 'Co': 0.27139}",550,0.916048,0.425133,1.864652,2285
3,4,Bi-Ni-Zr-O,"{""Bi"": 0.828749864810464, ""Ni"": 0.10209702058050829, ""Zr"": 0.06915311460902779}",0,0.946109,1.122578,1.864652,2284
3,5,Ni-Sb-W-O,"{""Ni"": 0.07430124718076857, ""Sb"": 0.00438110666535326, ""W"": 0.9213176461538781}",550,8.474485,0.000159,1.864652,2283
3,6,Mn-Nb-Zn-O,"{'Mn': 0.15764805833201176, 'Nb': 0.7334537888496024, 'Zn': 0.10889815281838576}",550,0.99196,0.011411,1.864652,2282
3,7,Co-Mo-Pd-O,"{""Co"": 0.5015104722829535, ""Mo"": 0.17210327669887596, ""Pd"": 0.3263862510181704}",550,0.702008,0.185002,1.864652,2281
3,8,Bi-Ni-Zr-O,"{""Bi"": 0.9233644976601667, ""Ni"": 0.025172299151261148, ""Zr"": 0.05146320318857218}",550,10.698896,1.690803,1.864652,2280
3,9,Ni-Pd-Ta-O,"{""Ni"": 0.3720811057579513, ""Pd"": 0.21127685772912885, ""Ta"": 0.4166420365129198}",550,1.138366,0.063151,1.864652,2279
3,10,Mn-Nb-Zn-O,"{'Mn': 0.15490147151663597, 'Nb': 0.7207635399887081, 'Zn': 0.12433498849465592}",550,0.886541,0.010715,1.864652,2278
3,11,Ge-In-Zr-O,"{""Ge"": 0.06261642299303449, ""In"": 0.02869791031683508, ""Zr"": 0.9086856666901304}",550,1.54482,0.00971,1.864652,2277
3,12,Co-Mn-Ti-O,"{'Co': 0.58212, 'Mn': 0.04626, 'Ti': 0.37162}",550,0.799692,0.041117,1.864652,2276
3,13,Mn-Nb-Zn-O,"{'Mn': 0.046727032955873896, 'Nb': 0.79310109841789, 'Zn': 0.16017186862623609}",700,1.689628,0.004829,1.864652,2275
3,14,Bi-Co-Sb-O,"{'Sb': 0.18552, 'Bi': 0.72651, 'Co': 0.08797}",550,0.949745,0.123683,1.864652,2274
3,15,Co-Ni-Pd-O,"{""Co"": 0.07293261412576602, ""Ni"": 0.005519208234546387, ""Pd"": 0.9215481776396875}",550,1.041098,0.010934,1.864652,2273
3,16,Co-Sb-Zr-O,"{""Co"": 0.1042846952403609, ""Sb"": 0.008827747361584603, ""Zr"": 0.8868875573980544}",550,1.326697,0.036265,1.864652,2272
3,17,Bi-Co-Sb-O,"{'Sb': 0.00895, 'Bi': 0.85692, 'Co': 0.13413}",0,0.994755,1.094073,1.864652,2271
3,18,Ni-Sb-W-O,"{""Ni"": 0.18677572652769497, ""Sb"": 0.3300330720595656, ""W"": 0.4831912014127395}",550,1.192292,0.010524,1.864652,2270
3,19,In-Mn-Pd-O,"{""In"": 0.0793189636274222, ""Mn"": 0.0902428723717034, ""Pd"": 0.8304381640008743}",550,0.55272,-0.029337,2.80642,2269
3,20,Ge-In-Zr-O,"{""Ge"": 0.1967155683499317, ""In"": 0.037804538707849375, ""Zr"": 0.7654798929422189}",550,1.566082,0.036289,2.80642,2268
3,21,Co-Fe-Zr-O,"{""Co"": 0.8188650241128057, ""Fe"": 0.08201795716851885, ""Zr"": 0.09911701871867538}",550,0.624498,0.073694,2.80642,2267
3,22,Ag-Ge-Hf-O,"{""Ag"": 0.1326597055340443, ""Ge"": 0.03521339227440009, ""Hf"": 0.8321269021915556}",0,7.493741,0.085137,2.80642,2266
3,23,Fe-In-Ni-O,"{""Fe"": 0.07114676215677611, ""In"": 0.8328691256487428, ""Ni"": 0.09598411219448108}",500,0.97101,0.128251,2.80642,2265
3,24,Al-Cu-Mo-O,"{'Al': 0.8995177831875318, 'Cu': 0.06147489569739311, 'Mo': 0.03900732111507511}",700,1.198826,0.000447,2.80642,2264
3,25,Bi-Co-Sb-O,"{'Sb': 0.27448, 'Bi': 0.37582, 'Co': 0.34971}",0,0.969425,0.363136,2.80642,2263
3,26,Co-Mn-W-O,"{'Co': 0.05807823681989232, 'W': 0.8976125296043421, 'Mn': 0.04430923357576556}",550,1.001365,0.118525,2.80642,2262
3,27,Al-Bi-Co-O,"{'Al': 0.45238, 'Co': 0.28478, 'Bi': 0.26283}",550,1.522167,-0.001654,2.80642,2261
3,28,Co-In-Zr-O,"{""Co"": 0.3288278121957796, ""In"": 0.6354045142135549, ""Zr"": 0.035767673590665405}",550,0.680259,0.294628,2.80642,2260
3,29,Co-In-Si-O,"{""Co"": 0.8666283335959492, ""In"": 0.13337166640405085}",550,0.782023,-0.031681,2.80642,2259
3,30,Bi-Co-Sb-O,"{'Sb': 0.30162, 'Bi': 0.20503, 'Co': 0.49335}",0,0.967049,0.249846,2.80642,2258
3,31,Nb-Ni-Ta-O,"{""Nb"": 0.02950777458685424, ""Ni"": 0.09242454383035038, ""Ta"": 0.8780676815827954}",550,5.533028,-0.061549,2.80642,2257
3,32,Ag-Ge-Hf-O,"{""Ag"": 0.5360353024508191, ""Ge"": 0.37757741871071343, ""Hf"": 0.0863872788384675}",550,0.827776,0.366686,2.80642,2256
3,33,Ge-In-Zr-O,"{""Ge"": 0.7334778602508686, ""In"": 0.15991703667177326, ""Zr"": 0.1066051030773581}",550,0.971589,0.674295,2.80642,2255
3,34,Mn-Nb-Zn-O,"{'Mn': 0.08972673458137807, 'Nb': 0.7306004507386906, 'Zn': 0.17967281467993132}",700,1.038369,-0.001332,2.80642,2254
3,35,Co-Ni-Ta-O,"{""Co"": 0.29156762889571763, ""Ni"": 0.5914239457931676, ""Ta"": 0.11700842531111474}",550,0.688503,0.332271,2.80642,2253
3,36,Co-Mn-W-O,"{'Co': 0.71982, 'W': 0.20511, 'Mn': 0.07507}",550,0.989779,0.17878,2.80642,2252
3,37,Bi-Co-Sb-O,"{'Sb': 0.0041, 'Bi': 0.94086, 'Co': 0.05504}",0,10.734386,1.123415,2.80642,2251
3,38,Bi-Ni-Zr-O,"{""Bi"": 0.49865176742620987, ""Ni"": 0.04586957317591876, ""Zr"": 0.4554786593978714}",550,1.040472,0.076273,2.80642,2250
3,39,Co-Mn-Nb-O,"{""Co"": 0.45743165710405725, ""Mn"": 0.5041132737228817, ""Nb"": 0.03845506917306099}",550,0.831702,0.181098,2.80642,2249
3,40,Co-Mn-Zr-O,"{""Co"": 0.6426467871931673, ""Mn"": 0.10214030047068694, ""Zr"": 0.25521291233614574}",0,0.596404,0.202973,2.80642,2248
3,41,Ni-Sb-W-O,"{""Ni"": 0.5444883793985208, ""Sb"": 0.4555116206014793, ""W"": 0.0}",0,0.937124,0.309924,2.80642,2247
3,42,Co-Mn-Mo-O,"{'Mn': 0.63881, 'Co': 0.1348, 'Mo': 0.2264}",550,0.753339,0.109792,2.80642,2246
3,43,Al-Cu-Mo-O,"{'Al': 0.10674, 'Cu': 0.42299, 'Mo': 0.47028}",550,0.941847,0.157727,2.80642,2245
3,44,Ge-In-Zr-O,"{""Ge"": 0.14340300425948926, ""In"": 0.2755944352273321, ""Zr"": 0.5810025605131786}",550,1.528471,0.034522,2.80642,2244
3,45,Co-Nb-Zr-O,"{""Co"": 0.09985770245928118, ""Nb"": 0.06747648486277343, ""Zr"": 0.8326658126779455}",550,1.1518,0.009866,2.80642,2243
3,46,Ni-Sb-W-O,"{""Ni"": 0.5476082797872543, ""Sb"": 0.06835025218897156, ""W"": 0.3840414680237741}",0,0.950997,0.707698,2.80642,2242
3,47,Bi-Ni-Zr-O,"{""Bi"": 0.30804352088716475, ""Ni"": 0.6584992317156277, ""Zr"": 0.03345724739720743}",550,0.771335,0.464717,2.80642,2241
3,48,Co-In-Si-O,"{""Co"": 0.36490353468878667, ""In"": 0.6350964653112133}",550,1.149234,0.119882,2.80642,2240
3,49,Mn-Ni-Pd-O,"{""Mn"": 0.15684400430181084, ""Ni"": 0.4002572957658411, ""Pd"": 0.44289869993234804}",0,0.589719,0.404001,2.80642,2239
3,50,Mn-Ni-Pd-O,"{""Mn"": 0.2720670851100272, ""Ni"": 0.4775538571079989, ""Pd"": 0.25037905778197383}",550,0.804763,0.210604,2.80642,2238
4,1,Ag-Ni-Sb-O,"{'Sb': 0.14028, 'Ag': 0.82375, 'Ni': 0.03597}",550,0.821058,0.524219,1.74329,2287
4,2,Al-Cu-Mo-O,"{'Al': 0.60898, 'Cu': 0.04848, 'Mo': 0.34253}",550,1.110475,0.021364,1.74329,2286
4,3,Fe-Sb-W-O,"{'Sb': 0.006458961366988495, 'W': 0.9062709274177916, 'Fe': 0.08727011121521992}",0,0.958612,0.027177,1.74329,2285
4,4,Co-Ni-Pd-O,"{""Co"": 0.20025070770540537, ""Ni"": 0.06361183661091674, ""Pd"": 0.7361374556836779}",550,1.045962,0.002874,1.74329,2284
4,5,Mn-Pd-Zn-O,"{""Mn"": 0.02709404293765664, ""Pd"": 0.038660714490754054, ""Zn"": 0.9342452425715893}",550,0.989068,1.606073,1.74329,2283
4,6,Fe-In-Ni-O,"{""Fe"": 0.06096127048303243, ""In"": 0.9008741059419074, ""Ni"": 0.03816462357506024}",500,1.01599,0.041637,1.74329,2282
4,7,Mn-Nb-Sb-O,"{""Mn"": 0.30037247143072576, ""Nb"": 0.694242230897126, ""Sb"": 0.005385297672148164}",0,1.124897,0.128906,1.74329,2281
4,8,Co-Ni-Zr-O,"{""Co"": 0.3453289705636771, ""Ni"": 0.37711304383337974, ""Zr"": 0.2775579856029431}",550,0.704262,0.167849,1.848327,2280
4,9,Ge-In-Zr-O,"{""Ge"": 0.0798690848864886, ""In"": 0.8737651112926362, ""Zr"": 0.046365803820875115}",0,0.98779,1.128954,1.848327,2279
4,10,Ag-Ni-Sb-O,"{'Sb': 0.32428, 'Ag': 0.37948, 'Ni': 0.29624}",550,0.848921,0.355188,1.848327,2278
4,11,Co-Mn-Ti-O,"{'Co': 0.33084, 'Mn': 0.1365, 'Ti': 0.53266}",550,0.856929,0.011085,1.848327,2277
4,12,Co-Hf-Mn-O,"{""Co"": 0.18353672301178334, ""Hf"": 0.6631902539487206, ""Mn"": 0.1532730230394961}",550,1.086665,0.014008,1.848327,2276
4,13,Al-Bi-Co-O,"{'Al': 0.03748, 'Co': 0.898, 'Bi': 0.06452}",550,0.642786,0.091503,2.229396,2275
4,14,Al-Bi-Co-O,"{'Al': 0.07985, 'Co': 0.75313, 'Bi': 0.16702}",700,0.82805,0.114813,2.229396,2274
4,15,Co-Ni-Ta-O,"{""Co"": 0.31242836979461625, ""Ni"": 0.5250068883580329, ""Ta"": 0.16256474184735095}",0,0.594047,0.462942,2.510619,2273
4,16,Ag-Ni-Sb-O,"{'Sb': 0.01085, 'Ni': 0.67233, 'Ag': 0.31682}",0,0.970854,0.879499,2.510619,2272
