repeat,step,material_system,composition,anneal_T_C,predicted_overpotential_V,actual_overpotential_V,predicted_molar_change,actual_molar_change,hypervolume
1,12,Ag-Nb-Ni-O,"{""Ag"": 0.273455113443174, ""Nb"": 0.49978854071497336, ""Ni"": 0.2267563458418527}",550,1.354418,0.905862,0.384778,0.069315,2.792671
1,13,Ni-Pd-Ta-O,"{""Ni"": 0.06497016675708737, ""Pd"": 0.889758224718729, ""Ta"": 0.045271608524183535}",550,0.729456,0.647123,0.028634,0.004436,2.795224
1,14,Ni-Pd-Ta-O,"{""Ni"": 0.3196113756423825, ""Pd"": 0.48399855624915367, ""Ta"": 0.19639006810846382}",0,0.676439,0.637361,0.233182,0.191978,2.795224
1,15,Ni-Pd-Ta-O,"{""Ni"": 0.10565936912966974, ""Pd"": 0.24771885697404242, ""Ta"": 0.6466217738962878}",550,0.712485,1.303739,0.044077,0.037401,2.795224
1,16,Co-Ni-Pd-O,"{""Co"": 0.25596020863164903, ""Ni"": 0.12306368372571383, ""Pd"": 0.6209761076426372}",550,0.696602,1.063339,0.030141,0.011207,2.795224
1,17,Ni-Pd-Ta-O,"{""Ni"": 0.033213002140411854, ""Pd"": 0.8238943840471122, ""Ta"": 0.14289261381247592}",550,0.659165,0.571994,0.019107,-0.004912,2.798749
1,18,Ni-Pd-Ta-O,"{""Ni"": 0.07894095125371102, ""Pd"": 0.5490135112431097, ""Ta"": 0.3720455375031793}",550,0.795074,1.20314,0.021613,0.027154,2.798749
1,19,Ni-Pd-Ta-O,"{""Ni"": 0.10409852739323483, ""Pd"": 0.685310673868292, ""Ta"": 0.2105907987384732}",550,0.712516,0.74363,0.024056,-0.019365,2.798848
1,20,In-Mn-Pd-O,"{""In"": 0.036791407928505195, ""Mn"": 0.01931446609606981, ""Pd"": 0.9438941259754251}",550,0.732042,0.551155,0.006155,-0.096188,2.840743
1,21,In-Mn-Pd-O,"{""In"": 0.08788896855855852, ""Mn"": 0.07408525184201467, ""Pd"": 0.8380257795994268}",550,0.626071,0.572501,-0.033114,0.045708,2.840743
1,22,Co-Mo-Pd-O,"{""Co"": 0.13701578586074648, ""Mo"": 0.09056728228019642, ""Pd"": 0.7724169318590571}",550,0.651205,0.677782,0.017994,0.038068,2.840743
1,23,Co-Ni-Zr-O,"{""Co"": 0.11285799530248547, ""Ni"": 0.7700213866479172, ""Zr"": 0.11712061804959736}",0,0.891627,1.060773,0.36306,0.763073,2.840743
1,24,Bi-Ni-Zr-O,"{""Bi"": 0.26066939827701613, ""Ni"": 0.694674121729791, ""Zr"": 0.04465647999319285}",0,0.924593,0.923415,0.470476,0.634228,2.840743
1,25,Co-Ni-Pd-O,"{""Co"": 0.056595550085647206, ""Ni"": 0.0041667004736063145, ""Pd"": 0.9392377494407464}",0,0.652098,0.470136,0.191627,0.637252,3.294089
1,26,Co-Mo-Pd-O,"{""Co"": 0.059054130675121115, ""Mo"": 0.03567693488348258, ""Pd"": 0.9052689344413963}",0,0.574603,0.493945,0.390888,0.407524,3.307232
1,27,Nb-Ni-Ta-O,"{""Nb"": 0.508031668527685, ""Ni"": 0.23503704773240905, ""Ta"": 0.2569312837399061}",550,1.512516,2.070313,0.02092,-0.005394,3.307232
1,28,In-Mn-Pd-O,"{""In"": 0.07978659119665726, ""Mn"": 0.2369801359400674, ""Pd"": 0.6832332728632754}",550,0.776286,0.508896,0.01662,0.028395,3.323253
1,29,Mn-Pd-Zn-O,"{""Mn"": 0.19464692904140998, ""Pd"": 0.6827823274826441, ""Zn"": 0.12257074347594592}",550,0.607751,0.563531,0.025199,0.115853,3.323253
1,30,In-Mn-Pd-O,"{""In"": 0.07023121592726059, ""Mn"": 0.27670140169429713, ""Pd"": 0.6530673823784422}",550,0.551939,0.507365,0.057332,0.090649,3.323739
1,31,In-Mn-Pd-O,"{""In"": 0.14936205447243683, ""Mn"": 0.2076901438187493, ""Pd"": 0.6429478017088139}",550,0.642372,0.584246,0.063809,0.105546,3.323739
1,32,In-Mn-Pd-O,"{""In"": 0.09571536581703892, ""Mn"": 0.25730804212694447, ""Pd"": 0.6469765920560167}",0,0.537782,0.593006,0.322534,0.321881,3.323739
1,33,Co-Ni-Pd-O,"{""Co"": 0.07293261412576602, ""Ni"": 0.005519208234546387, ""Pd"": 0.9215481776396875}",550,0.521257,1.041098,0.033797,0.010934,3.323739
1,34,Co-Ni-Pd-O,"{""Co"": 0.04285241184796641, ""Ni"": 0.003501292065647473, ""Pd"": 0.9536462960863862}",0,0.580223,0.467155,0.497988,0.459791,3.345178
1,35,Mn-Ni-Pd-O,"{""Mn"": 0.023010763367858938, ""Ni"": 0.03688561645686756, ""Pd"": 0.9401036201752735}",550,0.602239,0.580131,0.014633,0.116489,3.345178
1,36,Co-Nb-Sn-O,"{'Co': 0.27454386718136153, 'Nb': 0.5495562083960752, 'Sn': 0.17589992442256341}",700,1.591814,0.98162,0.00856,-0.059267,3.345178
1,37,Co-Ni-Pd-O,"{""Co"": 0.03220864466323094, ""Ni"": 0.005054323140198957, ""Pd"": 0.96273703219657}",550,0.534225,1.006575,0.012245,0.082655,3.345178
1,38,Co-Ni-Pd-O,"{""Co"": 0.023424670306801964, ""Ni"": 0.002467217132874793, ""Pd"": 0.9741081125603234}",550,0.726083,1.106269,0.046522,0.034582,3.345178
1,39,Co-Ni-Pd-O,"{""Co"": 0.041183577795834786, ""Ni"": 0.0033916257973575104, ""Pd"": 0.9554247964068077}",0,0.620261,0.456618,0.480235,0.543545,3.405122
1,40,Co-Mo-Pd-O,"{""Co"": 0.04540676417663852, ""Mo"": 0.04064990029904174, ""Pd"": 0.9139433355243198}",550,0.547736,0.680746,0.020308,-0.009735,3.405122
1,41,Co-Ni-Pd-O,"{""Co"": 0.039948117332867634, ""Ni"": 0.004488811226063852, ""Pd"": 0.9555630714410684}",550,0.601834,0.783209,0.06376,0.101466,3.405122
1,42,Mn-Pd-Zn-O,"{""Mn"": 0.37238337092788415, ""Pd"": 0.4596912762164277, ""Zn"": 0.1679253528556881}",550,0.818893,0.655162,0.099303,0.232459,3.405122
1,43,Co-Mo-Pd-O,"{""Co"": 0.025546298486433264, ""Mo"": 0.023649348624183473, ""Pd"": 0.9508043528893831}",550,0.603923,0.631209,0.059214,0.108967,3.405122
1,44,In-Mn-Pd-O,"{""In"": 0.07801338718013939, ""Mn"": 0.39997167883629875, ""Pd"": 0.5220149339835619}",550,0.748499,0.543262,0.098365,0.139143,3.405122
1,45,Co-Nb-Sn-O,"{'Co': 0.3060887525075652, 'Nb': 0.5263746929651044, 'Sn': 0.16753655452733046}",550,1.387314,0.859638,0.000314,-0.026468,3.405122
1,46,Co-Mn-Zr-O,"{""Co"": 0.6306605659000143, ""Mn"": 0.30634279517932134, ""Zr"": 0.06299663892066441}",550,0.91795,0.793098,0.114733,0.001786,3.405122
1,47,Co-Mo-Pd-O,"{""Co"": 0.04468525095573994, ""Mo"": 0.0270797755914407, ""Pd"": 0.9282349734528195}",0,0.555372,0.475728,0.456487,0.470186,3.405122
1,48,In-Mn-Pd-O,"{""In"": 0.05218966198465292, ""Mn"": 0.3271353985864145, ""Pd"": 0.6206749394289326}",550,0.601413,0.512036,0.083654,0.081976,3.405122
1,49,In-Mn-Pd-O,"{""In"": 0.07775666649006174, ""Mn"": 0.3066161909085832, ""Pd"": 0.615627142601355}",0,0.564421,0.610855,0.343853,0.190901,3.405122
1,50,Co-Mo-Pd-O,"{""Co"": 0.03613773428151043, ""Mo"": 0.021021919813891787, ""Pd"": 0.9428403459045978}",550,0.562203,0.628865,0.017373,-0.06209,3.405122
2,1,Co-In-Si-O,"{""Co"": 0.4169115551184158, ""In"": 0.5830884448815842}",0,3.116461,1.107384,-0.002849,0.113286,1.74329
2,2,Fe-Sb-W-O,"{""Fe"": 0.053281706630836645, ""Sb"": 0.0030477721923588526, ""W"": 0.9436705211768045}",550,1.81299,1.027596,0.048588,-0.024967,1.74329
2,3,Bi-Ni-Zr-O,"{""Bi"": 0.799487266475573, ""Ni"": 0.16984006981189786, ""Zr"": 0.030672663712529222}",550,2.323849,1.718231,0.00251,0.026602,1.74329
2,4,Ni-Sb-W-O,"{""Ni"": 0.18677572652769497, ""Sb"": 0.3300330720595656, ""W"": 0.4831912014127395}",550,2.018346,1.192292,0.009468,0.010524,1.74329
2,5,Co-Nb-Sn-O,"{'Co': 0.477187604600918, 'Nb': 0.3282476046265705, 'Sn': 0.1945647907725116}",550,1.995011,0.839877,0.018915,0.04253,1.74329
2,6,Co-Ni-Ta-O,"{""Co"": 0.28278907660766045, ""Ni"": 0.18636657971063122, ""Ta"": 0.5308443436817083}",550,1.489939,1.199792,0.03055,0.011212,1.74329
2,7,Nb-Ni-Ta-O,"{""Nb"": 0.5392618774230442, ""Ni"": 0.3636946619241437, ""Ta"": 0.09704346065281207}",550,1.686208,2.687193,-7.8e-05,0.022534,1.74329
2,8,Ag-Nb-Ni-O,"{""Ag"": 0.3394320950591408, ""Nb"": 0.5338607924508958, ""Ni"": 0.12670711248996333}",0,2.198426,0.955376,0.033421,0.609831,1.74329
2,9,Co-Nb-Zr-O,"{""Co"": 0.41243857811462126, ""Nb"": 0.4920114181691707, ""Zr"": 0.09555000371620806}",550,1.765371,1.323499,0.023188,0.039128,1.74329
2,10,Mn-Nb-Sb-O,"{""Mn"": 0.4571303249755999, ""Nb"": 0.5372933543813965, ""Sb"": 0.005576320643003576}",550,1.905743,1.079744,0.020572,0.100406,1.74329
2,11,Co-Nb-Zr-O,"{""Co"": 0.10301977022789781, ""Nb"": 0.5230315239269847, ""Zr"": 0.3739487058451175}",550,1.434323,1.107378,0.036443,0.003703,1.74329
2,12,Co-Nb-Sn-O,"{'Co': 0.2988844603210729, 'Nb': 0.5262393703499926, 'Sn': 0.17487616932893457}",550,1.659288,0.931565,0.032587,0.017941,1.74329
2,13,Ag-Nb-Ni-O,"{""Ag"": 0.273455113443174, ""Nb"": 0.49978854071497336, ""Ni"": 0.2267563458418527}",550,1.459683,0.905862,0.324587,0.069315,1.74329
2,14,Co-Ni-Ta-O,"{""Co"": 0.7045514760648363, ""Ni"": 0.23640665295531985, ""Ta"": 0.05904187097984386}",0,1.110087,0.56503,0.116319,0.529119,2.631644
2,15,Co-Nb-Sn-O,"{'Co': 0.70247, 'Nb': 0.2228, 'Sn': 0.07473}",550,0.928324,0.822719,0.153156,0.006849,2.631644
2,16,Co-In-Zr-O,"{""Co"": 0.7642750718606691, ""In"": 0.16032402248016653, ""Zr"": 0.07540090565916437}",0,1.042586,0.543965,0.333162,0.444544,2.76675
2,17,Co-In-Zr-O,"{""Co"": 0.7714518959042741, ""In"": 0.16777727175546636, ""Zr"": 0.0607708323402596}",550,0.785044,0.586416,0.169695,0.2292,2.798712
2,18,Co-Sb-Zr-O,"{""Co"": 0.7553729256605235, ""Sb"": 0.015253478736914995, ""Zr"": 0.22937359560256151}",550,0.697468,1.041386,0.186807,0.079945,2.798712
2,19,Co-Nb-Zr-O,"{""Co"": 0.8381564933715236, ""Nb"": 0.081203527384317, ""Zr"": 0.08063997924415944}",550,0.671996,0.652228,0.161725,0.061435,2.815197
2,20,Co-Mn-Sn-O,"{""Co"": 0.739857849958722, ""Mn"": 0.26014215004127805, ""Sn"": 0.0}",0,0.768231,0.701671,0.372917,0.062259,2.815197
2,21,Co-Nb-Zr-O,"{""Co"": 0.33412948471187787, ""Nb"": 0.5053194343848834, ""Zr"": 0.16055108090323886}",550,1.203706,1.268756,0.026662,0.00311,2.815197
2,22,Co-Ni-Ta-O,"{""Co"": 0.7561351522042932, ""Ni"": 0.18751291271635315, ""Ta"": 0.05635193507935367}",550,0.731396,0.635258,0.117195,0.186207,2.815927
2,23,Co-Ni-Zr-O,"{""Co"": 0.5031749149863485, ""Ni"": 0.3232107946739678, ""Zr"": 0.17361429033968362}",0,0.905448,0.77848,0.277918,0.598115,2.815927
2,24,Al-Bi-Co-O,"{'Al': 0.04259, 'Co': 0.75396, 'Bi': 0.20345}",550,0.711773,0.937983,0.090316,0.051994,2.815927
2,25,Co-Ni-Ta-O,"{""Co"": 0.7412025562138433, ""Ni"": 0.217362167858777, ""Ta"": 0.041435275927379556}",0,0.683939,0.618133,0.446299,0.511283,2.815927
2,26,Nb-Ni-Ta-O,"{""Nb"": 0.508031668527685, ""Ni"": 0.23503704773240905, ""Ta"": 0.2569312837399061}",550,1.522152,2.070313,0.027086,-0.005394,2.815927
2,27,Bi-Ni-Zr-O,"{""Bi"": 0.43188884893049984, ""Ni"": 0.354265459321912, ""Zr"": 0.2138456917475881}",550,1.198777,0.8711,0.044018,0.343405,2.815927
2,28,Co-In-Si-O,"{""Co"": 0.7593432550109557, ""In"": 0.2406567449890443}",550,0.638816,2.051117,0.161674,0.005307,2.815927
2,29,Co-In-Si-O,"{""Co"": 0.8126018998554471, ""In"": 0.1873981001445529}",550,0.821212,0.913937,0.118098,0.078247,2.815927
2,30,Co-In-Zr-O,"{""Co"": 0.7704059432752054, ""In"": 0.17190637943801657, ""Zr"": 0.05768767728677797}",550,0.727917,0.591444,0.185841,0.224257,2.816143
2,31,Co-In-Zr-O,"{""Co"": 0.7803621763480014, ""In"": 0.12163048961618128, ""Zr"": 0.0980073340358173}",0,0.604584,0.532254,0.356249,0.4309,2.884666
2,32,Co-Ni-Pd-O,"{""Co"": 0.7578304947198521, ""Ni"": 0.010974381710097318, ""Pd"": 0.23119512357005062}",550,0.800496,0.685741,0.067812,0.059918,2.884764
2,33,Ag-Nb-Ni-O,"{""Ag"": 0.4785188711677248, ""Nb"": 0.48652955381979124, ""Ni"": 0.03495157501248397}",550,1.282142,0.896954,0.053767,0.147469,2.884764
2,34,Co-In-Si-O,"{""Co"": 0.8404820720221606, ""In"": 0.1595179279778393}",550,0.703197,0.797557,0.091743,0.086636,2.884764
2,35,Co-Nb-Sn-O,"{'Co': 0.27454386718136153, 'Nb': 0.5495562083960752, 'Sn': 0.17589992442256341}",700,1.474749,0.98162,0.015125,-0.059267,2.884846
2,36,Co-In-Si-O,"{""Co"": 0.7861806380580796, ""In"": 0.21381936194192044}",550,1.104496,6.036731,0.114388,-0.010085,2.884846
2,37,Al-Bi-Co-O,"{'Al': 0.15654, 'Co': 0.79631, 'Bi': 0.04716}",700,1.121208,0.749442,0.06571,0.03568,2.884872
2,38,Co-Nb-Sn-O,"{'Co': 0.94704, 'Nb': 0.03337, 'Sn': 0.01959}",550,0.906288,0.685348,0.068713,0.001671,2.888641
2,39,Co-In-Si-O,"{""Co"": 0.8011167051387675, ""In"": 0.19888329486123243}",550,1.949112,1.632218,0.058244,0.004338,2.888641
2,40,Co-In-Si-O,"{""Co"": 0.7970107883098309, ""In"": 0.20298921169016915}",550,2.593799,10.60657,0.013178,-0.006814,2.888641
2,41,Co-In-Si-O,"{""Co"": 0.5840952640565931, ""In"": 0.41590473594340704}",550,2.682426,7.448772,0.015228,0.010328,2.888641
2,42,Co-In-Zr-O,"{""Co"": 0.12505432598652316, ""In"": 0.743700667195564, ""Zr"": 0.1312450068179128}",0,3.011992,0.946474,0.32068,0.657924,2.888641
2,43,Co-In-Si-O,"{""Co"": 0.09054266783043065, ""In"": 0.9094573321695694}",0,2.153315,1.026172,0.382255,0.442124,2.888641
2,44,Co-Nb-Sn-O,"{'Co': 0.794170329962702, 'Nb': 0.1514731810534238, 'Sn': 0.05435648898387416}",550,1.010507,0.672724,0.021253,-0.015413,2.890724
2,45,Co-In-Si-O,"{""Co"": 0.13803822032991858, ""In"": 0.8619617796700815}",550,3.220402,0.962226,0.020448,0.271652,2.890724
2,46,Co-Nb-Sn-O,"{'Co': 0.79862, 'Nb': 0.14474, 'Sn': 0.05664}",550,0.994726,0.725901,0.000695,0.020758,2.890724
2,47,Ge-In-Zr-O,"{""Ge"": 0.5331711474608857, ""In"": 0.21906625327605184, ""Zr"": 0.24776259926306257}",0,3.266025,1.074874,0.535896,0.712413,2.890724
2,48,Co-In-Zr-O,"{""Co"": 0.25231117718904833, ""In"": 0.6327297387093755, ""Zr"": 0.11495908410157603}",550,1.93038,0.87028,0.15153,0.49883,2.890724
2,49,Co-In-Si-O,"{""Co"": 0.42672694134941414, ""In"": 0.5732730586505859}",550,2.648109,5.502682,0.272759,0.001657,2.890724
2,50,Co-In-Si-O,"{""Co"": 0.8666283335959492, ""In"": 0.13337166640405085}",550,0.961585,0.782023,0.075874,-0.031681,2.890724
3,1,Co-In-Si-O,"{""Co"": 0.4169115551184158, ""In"": 0.5830884448815842}",0,3.87198,1.107384,0.005906,0.113286,1.74329
3,2,Fe-Sb-W-O,"{""Fe"": 0.053281706630836645, ""Sb"": 0.0030477721923588526, ""W"": 0.9436705211768045}",550,2.012244,1.027596,0.053347,-0.024967,1.74329
3,3,Bi-Ni-Zr-O,"{""Bi"": 0.799487266475573, ""Ni"": 0.16984006981189786, ""Zr"": 0.030672663712529222}",550,1.934094,1.718231,0.010122,0.026602,1.74329
3,4,Mn-Nb-Sb-O,"{""Mn"": 0.4571303249755999, ""Nb"": 0.5372933543813965, ""Sb"": 0.005576320643003576}",550,1.875619,1.079744,0.00739,0.100406,1.74329
3,5,Ni-Sb-W-O,"{""Ni"": 0.18677572652769497, ""Sb"": 0.3300330720595656, ""W"": 0.4831912014127395}",550,2.113867,1.192292,0.035237,0.010524,1.74329
3,6,Fe-In-Ni-O,"{""Fe"": 0.25174255451010236, ""In"": 0.5751397247339671, ""Ni"": 0.17311772075593046}",600,1.75467,0.975379,0.031895,0.361937,1.74329
3,7,Ag-Nb-Ni-O,"{""Ag"": 0.3394320950591408, ""Nb"": 0.5338607924508958, ""Ni"": 0.12670711248996333}",0,1.581973,0.955376,0.025189,0.609831,1.74329
3,8,Co-Nb-Zr-O,"{""Co"": 0.41243857811462126, ""Nb"": 0.4920114181691707, ""Zr"": 0.09555000371620806}",550,1.477991,1.323499,0.044173,0.039128,1.74329
3,9,Ag-Ni-Sb-O,"{'Sb': 0.00371, 'Ag': 0.82426, 'Ni': 0.17203}",550,1.333463,5.478394,0.293599,1.011823,1.74329
3,10,Ag-Nb-Ni-O,"{""Ag"": 0.5729225195624765, ""Nb"": 0.02377408863773864, ""Ni"": 0.40330339179978486}",550,1.409272,0.710557,0.667489,0.555377,1.801332
3,11,Co-Ni-Ta-O,"{""Co"": 0.28278907660766045, ""Ni"": 0.18636657971063122, ""Ta"": 0.5308443436817083}",550,2.631707,1.199792,0.047111,0.011212,1.801332
3,12,Nb-Ni-Ta-O,"{""Nb"": 0.5392618774230442, ""Ni"": 0.3636946619241437, ""Ta"": 0.09704346065281207}",550,1.629651,2.687193,0.00381,0.022534,1.801332
3,13,Ag-Ni-Sb-O,"{'Sb': 0.03919, 'Ni': 0.43603, 'Ag': 0.52478}",0,1.212586,0.928008,0.687562,0.766482,1.801332
3,14,Ag-Nb-Ni-O,"{""Ag"": 0.7334204348469423, ""Nb"": 0.0, ""Ni"": 0.2665795651530576}",550,2.12271,0.714617,0.771483,0.971648,1.801332
3,15,Ag-Nb-Ni-O,"{""Ag"": 0.775445937558044, ""Nb"": 0.15176543615430063, ""Ni"": 0.07278862628765538}",550,2.62987,0.974952,0.7817,0.537266,1.801332
3,16,Al-Ni-Ti-O,"{'Ni': 0.17741, 'Al': 0.50466, 'Ti': 0.31793}",700,1.351687,1.118346,0.056675,0.006145,1.801332
3,17,Mn-Ni-Pd-O,"{""Mn"": 0.04260347552650108, ""Ni"": 0.17298846507715393, ""Pd"": 0.7844080593963451}",550,1.455247,0.606701,0.039052,0.057486,2.455901
3,18,Ag-Nb-Ni-O,"{""Ag"": 0.7877462737972759, ""Nb"": 0.010347449157419348, ""Ni"": 0.20190627704530473}",550,1.525104,0.766807,0.83024,1.051543,2.455901
3,19,Ag-Ge-Hf-O,"{""Ag"": 0.7069139004905907, ""Ge"": 0.13593566510743485, ""Hf"": 0.1571504344019745}",550,1.281336,0.846245,0.791188,0.326377,2.455901
3,20,Ag-Ni-Sb-O,"{'Sb': 0.28804, 'Ag': 0.65912, 'Ni': 0.05284}",550,1.128252,0.810124,0.545305,0.477849,2.455901
3,21,Ag-Nb-Ni-O,"{""Ag"": 0.9403802488116261, ""Nb"": 0.038131939519599756, ""Ni"": 0.021487811668774136}",550,3.486963,0.879522,0.733725,1.466686,2.455901
3,22,Cr-Sb-V-O,"{""Cr"": 0.8527202460341154, ""Sb"": 0.055532323518980256, ""V"": 0.09174743044690427}",550,1.403665,1.048493,0.03979,0.438407,2.455901
3,23,Ag-Ge-Hf-O,"{""Ag"": 0.917911210301005, ""Ge"": 0.03375572209900701, ""Hf"": 0.04833306759998804}",0,2.531742,0.806531,1.082135,0.945974,2.455901
3,24,Ag-Ge-Hf-O,"{""Ag"": 0.8889489936558213, ""Ge"": 0.0356477142057993, ""Hf"": 0.07540329213837943}",550,1.485977,0.884244,0.984985,0.618204,2.455901
3,25,Ag-Pb-W-O,"{'Ag': 0.82658, 'Pb': 0.07894, 'W': 0.09448}",0,1.442669,0.735488,0.869727,5.27383,2.455901
3,26,Ag-Nb-Ni-O,"{""Ag"": 0.8118962085566067, ""Nb"": 0.0, ""Ni"": 0.18810379144339326}",550,1.4832,1.140515,0.962984,0.977292,2.455901
3,27,Ni-Sb-W-O,"{""Ni"": 0.13258685312680504, ""Sb"": 0.017583582807087404, ""W"": 0.8498295640661075}",0,1.780076,0.948427,0.311331,2.221834,2.455901
3,28,Ag-Ni-Sb-O,"{'Sb': 0.10371, 'Ni': 0.03831, 'Ag': 0.85797}",0,1.950325,0.867119,0.937221,1.137483,2.455901
3,29,Ag-Ni-Sb-O,"{'Sb': 0.00613, 'Ni': 0.02755, 'Ag': 0.96632}",0,2.283941,0.924153,1.124917,2.241688,2.455901
3,30,Fe-Sb-W-O,"{""Fe"": 0.9902852139523443, ""Sb"": 0.009714786047655731, ""W"": 0.0}",550,1.510422,0.804062,0.302188,0.023086,2.455901
3,31,Fe-Sb-W-O,"{""Fe"": 0.06414771736933099, ""Sb"": 0.004726713927963198, ""W"": 0.9311255687027058}",550,1.76407,10.664318,0.604053,-0.028342,2.455901
3,32,Fe-In-Ni-O,"{""Fe"": 0.5632101243531344, ""In"": 0.09107444089362728, ""Ni"": 0.34571543475323835}",600,1.73115,0.787506,0.117498,0.152402,2.455901
3,33,Fe-Sb-W-O,"{""Fe"": 0.05215017144896535, ""Sb"": 0.0017975264837702897, ""W"": 0.9460523020672643}",550,3.81906,0.961172,0.088673,0.102277,2.455901
3,34,Fe-In-Ni-O,"{""Fe"": 0.12461145667546966, ""In"": 0.7601258736274839, ""Ni"": 0.11526266969704645}",600,1.870947,0.978971,0.204584,0.080377,2.455901
3,35,Ni-Sb-W-O,"{""Ni"": 0.02229864173969836, ""Sb"": 0.004264699747322376, ""W"": 0.9734366585129793}",0,4.079593,6.107923,1.06509,1.77927,2.455901
3,36,Fe-Sb-W-O,"{""Fe"": 0.6209883350056749, ""Sb"": 0.005862636131486185, ""W"": 0.373149028862839}",550,1.88419,1.06205,0.08655,0.107234,2.455901
3,37,Fe-Sb-W-O,"{""Fe"": 0.41444122241918646, ""Sb"": 0.011393693975166907, ""W"": 0.5741650836056466}",550,1.933963,1.228793,0.09002,0.008066,2.455901
3,38,Co-Mn-W-O,"{'Co': 0.04509209214821983, 'W': 0.9373473630171487, 'Mn': 0.017560544834631448}",550,2.991538,1.156979,0.044228,-0.066078,2.455901
3,39,Co-Mn-W-O,"{'Co': 0.03904, 'Mn': 0.04188, 'W': 0.91907}",550,2.562047,1.048589,0.010596,0.094439,2.455901
3,40,Fe-Sb-W-O,"{""Fe"": 0.17383705415169207, ""Sb"": 0.003321423399384865, ""W"": 0.8228415224489231}",550,2.667715,0.946772,0.002543,0.091363,2.455901
3,41,Fe-Sb-W-O,"{'Sb': 0.016817723136900834, 'W': 0.916062585505748, 'Fe': 0.06711969135735119}",0,4.015775,0.939649,1.407222,0.029534,2.455901
3,42,Fe-Sb-W-O,"{'Sb': 0.01031, 'W': 0.89228, 'Fe': 0.09741}",0,2.139336,0.933529,0.533326,1.836288,2.455901
3,43,Fe-Sb-W-O,"{'Sb': 0.027175551622698888, 'W': 0.9207275938513088, 'Fe': 0.05209685452599234}",0,1.939307,0.950191,0.826389,0.026885,2.455901
3,44,Ni-Sb-W-O,"{""Ni"": 0.03216765414268587, ""Sb"": 0.031374185228674155, ""W"": 0.93645816062864}",550,5.496622,1.002492,0.113593,0.122236,2.455901
3,45,Fe-Sb-W-O,"{""Fe"": 0.04553111737253496, ""Sb"": 0.001364204677489476, ""W"": 0.9531046779499757}",550,1.578088,10.663267,0.059928,0.042972,2.455901
3,46,Fe-Sb-W-O,"{""Fe"": 0.05180786321207896, ""Sb"": 0.00031274519912333746, ""W"": 0.9478793915887976}",550,1.834501,10.664441,0.046274,-0.01048,2.455901
3,47,Ni-Sb-W-O,"{""Ni"": 0.05456435312413224, ""Sb"": 0.004362137009009926, ""W"": 0.9410735098668578}",550,2.414361,10.701909,0.067232,-0.090782,2.455901
3,48,Ni-Sb-W-O,"{""Ni"": 0.019245988071356582, ""Sb"": 0.046337668349641085, ""W"": 0.9344163435790024}",0,3.138967,6.32158,0.651736,1.69239,2.455901
3,49,Ni-Sb-W-O,"{""Ni"": 0.046552222645891324, ""Sb"": 0.04107872859788947, ""W"": 0.9123690487562192}",550,1.491323,1.009526,0.170561,0.078867,2.455901
3,50,Fe-Sb-W-O,"{""Fe"": 0.1632301339884399, ""Sb"": 0.003950263601015167, ""W"": 0.8328196024105449}",550,1.286954,1.276302,0.078318,0.009644,2.455901
